Model code,Brand,Revenue (EUR),Revenue Change (%),Revenue Change (EUR),Units,Units Change (%),Units Change,Price (EUR),Price Change (%),Price Change (EUR),Price index,Price index Change,Act. Num. Dist.,Act. Num. Dist. Change (pp),TPR units,TPR units Change (%),TPR units Change
QN65GV315ISW,SONY,23182.02,0.12,2475.29,76,0.147,10,303.06,-0.024,-7.37,42,1,0.01,-0.6,,,
U65H7A,SONY,23108.24,0.436,7020.24,20,0.541,7,1138.67,-0.068,-83.21,159,-2,0.01,0.7,20,,
XR-55A75K,SONY,23087.73,-0.428,-17283.37,15,-0.427,-11,1580.94,-0.002,-2.69,220,12,0.002,-1,,,
DVL-1962,TOSHIBA,23077,-0.529,-25913.21,30,-0.553,-37,769.23,0.054,39.13,107,11,0,0,0,,
43 GUB 6300,PHILIPS,23065.8,0.064,1380.11,102,0.041,4,226.14,0.022,4.85,32,2,0,0,0,,
OLED83C31LA,LG,23016.3,-0.342,-11978.25,29,-0.179,-6,804.39,-0.199,-200.09,112,-20,0.002,-0.1,,,
D50V850M5CWH,TOSHIBA,22805.46,0.093,1947.01,35,0.108,3,642.44,-0.013,-8.45,90,4,0.005,0.1,9,0.385,2
TX-77MZW2004,SONY,22388.74,,,15,,,1446.77,,,202,,0.01,,,,
S50U5061J,SONY,22382.9,0.379,6152.61,75,0.529,26,297.73,-0.098,-32.45,42,-2,0.008,0.1,38,,
65UXKQ,WE. BY LOEWE.,22107.59,-0.287,-8895.01,13,-0.274,-5,1639.03,-0.018,-30.52,229,9,0.003,-0.2,,,
GQ65QN92C,LG,22029.33,-0.587,-31273.83,12,-0.586,-17,1835.78,-0.001,-2.26,256,15,0,-0.8,12,,
43 VCE 220,SONY,21939.65,-0.612,-34589.61,15,-0.633,-26,1437.49,0.057,77.86,200,22,0.003,-0.4,4,,
XR-55X92K,PHILIPS,21925,-0.575,-29705.87,57,-0.575,-77,384.65,0,-0.08,54,3,0,0,0,,
SMART 40 VX,PANASONIC,21889.68,1.372,12660.93,19,1.262,11,1127.37,0.049,52.17,157,16,0.003,0.2,8,,
TX-32LSW484,LG,21723.14,-0.5,-21693.17,9,-0.47,-8,2523.73,-0.057,-151.82,352,0,0.001,-0.1,,,
BE50C-H/LH50BECH,PANASONIC,21717,0.148,2801,43,0.132,5,505.05,0.015,7.26,70,5,0,0,,,
D39H500M1CW,LG,21538.57,1.421,12643.57,12,1.389,7,1803.45,0.014,24.45,252,18,0.002,0.1,10,,
TX-43EXW604,SONY,21510.17,-0.417,-15371.31,41,-0.253,-14,521.67,-0.219,-146.26,73,-15,0.004,-0.4,25,3.48,19
GQ75QN90B,PANASONIC,21328.9,-0.023,-503.04,117,0.008,1,181.91,-0.031,-5.81,25,1,0.015,0,45,0.862,21
TRIVIO 32Z3,TOSHIBA,21291.51,0.305,4974.96,60,0.56,22,352.9,-0.163,-68.91,49,-6,0.015,1,45,2.301,31
40 GFB 6340,PANASONIC,21273.48,-0.447,-17177.8,14,-0.46,-12,1531.85,0.025,38.03,214,17,0.002,-0.2,8,-0.595,-12
KD-65X81K,PHILIPS,21257.99,0.228,3941.49,60,0.242,12,352.24,-0.011,-4.04,49,2,0.008,-0.5,14,,
55QNED866QA,PANASONIC,21144.97,-0.211,-5638.92,9,-0.25,-3,2349.44,0.053,117.45,328,34,0.001,0.1,4,,
GQ50QN92C,SONY,21143.87,-0.323,-10096.28,42,-0.318,-20,499.83,-0.008,-4.04,70,4,0.008,-0.9,4,-0.488,-4
50E6KT,SONY,21140.05,-0.143,-3516.36,25,-0.153,-4,862.76,0.012,10.41,120,8,0.014,0.8,12,0.02,0
P1E 32,SONY,21033.64,-0.394,-13686.19,13,-0.35,-7,1620.52,-0.068,-119.09,226,-3,0.002,0,13,-0.187,-3
40 GFB 5340,TELEFUNKEN,21028.25,-0.402,-14157.62,40,-0.384,-25,529.01,-0.03,-16.5,74,2,0.002,0,,,
TX-49LXF977,SONY,20965.03,-0.34,-10802.41,17,-0.362,-10,1225.62,0.035,41.13,171,15,0.003,-0.1,,,
55 GUB 8240,PHILIPS,20756.76,2.415,14679.26,50,1.992,33,415.14,0.141,51.43,58,10,0,-0.4,0,,
GU65AU7199,SONY,20691.95,0.135,2453.85,24,0.156,3,848.19,-0.019,-16.1,118,5,0.004,0.1,6,0.156,1
TX-49JXW944,SAMSUNG,20642.26,-0.722,-53731.01,22,-0.672,-45,938.28,-0.154,-171.18,131,-15,0.003,-0.6,8,-0.672,-16
65OLED936,SONY,20517.66,0.214,3611.11,17,0.186,3,1233.61,0.023,27.67,172,14,0.004,0.2,,,
XU55GA660S,SONY,20323.76,0.215,3599.4,16,0.252,3,1251.03,-0.029,-37.96,174,5,0.002,0,,,
TX-49LXT976,SAMSUNG,20301.79,-0.002,-33.49,30,0.028,1,672.24,-0.029,-19.9,94,3,0.001,0,14,,
55CF630,TELEFUNKEN,20231.94,1.594,12431.95,54,1.571,33,374.67,0.009,3.24,52,3,0.001,0,,,
D50Q701X2CW,WE. BY LOEWE.,20148.56,-0.031,-640.89,15,0.009,0,1378.81,-0.04,-57.14,192,4,0.005,0,,,
43NANO759PR,METZ,20048.2,2.496,14314.2,58,2.625,42,345.66,-0.035,-12.72,48,1,0.005,0.4,,,
32 VOE 62,LG,20023.02,0.856,9235.62,23,0.588,9,857.52,0.169,123.68,120,23,0.002,0,11,0.021,0
65PUS7608,METZ,19973.23,0.009,184.19,53,0,0,376.85,0.009,3.48,53,4,0.001,0,0,,
OLED83C27LA,LG,19955.17,7.288,17547.35,16,10.061,14,1273.73,-0.251,-426.27,178,-46,0.003,0.2,,,
GQ55QN85B,SAMSUNG,19896.09,0.209,3433,24,0.263,5,829,-0.043,-37.47,116,2,0.001,0,,,
TX-55MXX979,PANASONIC,19798.85,-0.387,-12482.76,15,-0.337,-7,1358.23,-0.075,-110.53,189,-4,0.002,0,13,0.492,4
GU65BU8079,HISENSE,19796.11,0.037,713.28,10,0.062,1,1979.61,-0.023,-46.95,276,10,0.001,0,9,,
OLED48C27LA,TOSHIBA,19642.72,0.24,3800.22,37,0.248,7,533.23,-0.006,-3.45,74,4,0.005,0.2,9,-0.307,-4
TX-50MXN888,SAMSUNG,19625.38,1.203,10717.01,17,1.071,9,1127.9,0.064,67.38,157,18,0.002,0,5,0.243,1
50 VUX 722,LG,19600.75,12.093,18103.75,8,6.682,7,2551.47,0.704,1054.47,356,159,0.001,0.1,0,,
